n_neurons,n_cores,conn_prob,firing_rate,T_overhead,T_overhead_sem,overhead_pct,overhead_pct_sem,T_static,T_static_sem,T_stdp,T_stdp_sem,n_spikes_static,n_spikes_stdp,n_connections,spike_divergence,spike_divergence_sem
10,1,0.05,10.0,0.0028996143325154267,0.00867284338275114,1.6446539835471268,0.08004890388581117,0.17630543333264845,0.005093325855855905,0.17920504766516387,0.007019703987192047,6907.333333333333,6903.666666666667,5.0,-0.05299900482772918,0.0680017630023595
10,1,0.05,20.0,0.0012114499986637384,0.0011379561865630242,0.6970811039813749,0.004544721989120936,0.17378895966976415,0.0006972486389109768,0.1750004096684279,0.0008993267582329854,7097.333333333333,7091.666666666667,6.666666666666667,-0.07982478242452497,0.0366603921505269
10,1,0.05,40.0,0.00045352000355100563,0.011267571625497727,0.24915354310781698,0.0154016547675615,0.18202430432817587,0.007504691229660066,0.18247782433172688,0.008404628479783313,7472.0,7463.0,5.0,-0.12040393229939865,0.06318194109049466
10,1,0.1,10.0,-0.0006712286655480848,0.0017057675363498605,-0.38422541186609327,0.0037606930332399727,0.17469658300008936,0.0010446220915086059,0.17402535433454128,0.0013484834348249366,6911.0,6907.0,7.333333333333333,-0.05787386444541853,0.022092077151147676
10,1,0.1,20.0,0.0006055396709901406,0.0010052436114006702,0.34898073353795683,0.0020212326117007066,0.1735166479969242,0.0009660432007912064,0.17412218766791435,0.0002779842665816579,7106.333333333333,7100.333333333333,9.666666666666666,-0.08442578929143307,0.03541045339495205
10,1,0.1,40.0,0.0019406490076410987,0.0013023761772518957,1.1253429329639422,0.00841443275523766,0.17244956633173084,0.0004261720033432508,0.17439021533937193,0.0012306750711051481,7469.0,7458.666666666667,7.666666666666667,-0.13825443855588584,0.0451020261803038
10,1,0.2,10.0,0.009133165663418652,0.006924093475558885,5.23054124236118,0.19726503345591195,0.17461224833580977,0.0008573225715432871,0.18374541399922842,0.00687081279519385,6921.333333333333,6914.666666666667,21.666666666666668,-0.096316856434071,0.025482099345198853
10,1,0.2,20.0,0.0021478143316926435,0.0012287405573049603,1.2335178243775586,0.008688714914487444,0.1741210616698178,0.0011317826825003893,0.17626887600151045,0.00047840497150252,7108.333333333333,7103.0,20.666666666666668,-0.07502095328010418,0.06149474512822267
10,1,0.2,40.0,0.0010840643371921033,0.0007775692790392641,0.6196796797891081,0.0027408383625015897,0.17493946833322602,0.00035049330640887853,0.17602353267041812,0.0006940954011288456,7486.333333333333,7465.666666666667,17.333333333333332,-0.2760459496750443,0.031115023443165794
10,2,0.05,10.0,-0.007084540008994139,0.006310723591178387,-3.334553769711395,0.09905266914602809,0.21245841267712726,0.006305911368583018,0.20537387266813312,0.0002464022236727747,6902.333333333333,6905.333333333333,4.333333333333333,0.04351606806721769,0.06643066038344751
10,2,0.05,20.0,-0.0036274396746497073,0.0035591136489670047,-1.7385471394533014,0.029679779920403996,0.20864776066931276,0.003478695714575354,0.20502032099466305,0.0007523071790554001,7092.0,7097.0,2.3333333333333335,0.07057756314427845,0.08580014484988327
10,2,0.05,40.0,-0.0037499033399702453,0.010292675358437272,-1.7442589109344029,0.08390675486627107,0.21498547701048665,0.0088121718046001,0.2112355736705164,0.005318345054656837,7470.333333333333,7466.0,5.333333333333333,-0.057868402055874034,0.1138283287749748
10,2,0.1,10.0,0.0005102073337184265,0.0011410564711489314,0.24606873289347106,0.0013515617106918873,0.20734342300177863,0.0005290854730991407,0.20785363033549706,0.001010978947607867,6913.333333333333,6912.333333333333,10.0,-0.014422947189279417,0.0662997681708735
10,2,0.1,20.0,-0.011427412668126635,0.011919339428718284,-5.251479606455519,0.2876754855024962,0.21760367600169653,0.011910852833689738,0.2061762633335699,0.0004497078953981304,7100.666666666667,7097.666666666667,10.0,-0.04184975522461989,0.18303006156706086
10,2,0.1,40.0,-4.2043335270136595e-05,0.0006327886025687699,-0.020565767986634495,6.36675592479235e-05,0.20443357766877548,0.0003174373276264932,0.20439153433350535,0.0005474074885953672,7474.0,7464.0,11.0,-0.13374111850154066,0.054033032209032585
10,2,0.2,10.0,0.007597382665456592,0.006729917688330583,3.7023134855564055,0.11710293602091354,0.20520635800009282,0.00042107514766278123,0.2128037406655494,0.006716731929422643,6923.666666666667,6909.0,21.666666666666668,-0.21179584758411152,0.06023926301037782
10,2,0.2,20.0,0.0016241076712806835,0.0011461738833380259,0.7899477982390964,0.004371377199651174,0.20559683499353318,0.00027834339233342217,0.20722094266481386,0.0011118630881500173,7107.333333333333,7097.666666666667,20.666666666666668,-0.13570273072211414,0.1603280923814874
10,2,0.2,40.0,0.002202540660315805,0.0015272458821820065,1.0684350368002224,0.00783251326849054,0.2061464276678938,0.00013306485812843326,0.2083489683282096,0.0015214380461172762,7482.0,7465.0,19.666666666666668,-0.22705847597778184,0.1518646248434918
10,4,0.05,10.0,0.05922186266010007,0.06436729293355073,34.02872306179651,12.585343155985477,0.17403492500307038,0.06436414200822063,0.23325678766317046,0.0006368854992372616,6911.333333333333,6900.333333333333,4.666666666666667,-0.1591072766493736,0.07963470789234227
10,4,0.05,20.0,0.005700917337283812,0.0035506224161041206,2.4441949478088,0.036404500768197755,0.23324315199958315,0.0010904069712083637,0.23894406933686696,0.003379043086271802,7097.333333333333,7093.666666666667,4.0,-0.05162731497520539,0.05993763740384664
10,4,0.05,40.0,0.0059960096599146195,0.004276020439683987,2.5834838624428027,0.0464313974776988,0.23209007600477585,0.0006952569556232457,0.23808608566469047,0.004219119406493816,7475.333333333333,7466.0,4.333333333333333,-0.12479755093536109,0.08467735459031639
10,4,0.1,10.0,-0.0016541319976871027,0.0006034314144966847,-0.7072811356524333,0.0018376392634988708,0.23387192366741752,8.741259366096344e-05,0.23221779166973042,0.0005970665879706659,6909.666666666667,6904.0,6.666666666666667,-0.08196559588574746,0.05687643180309428
10,4,0.1,20.0,5.447365886843136e-05,0.0005047419712843127,0.02327377859848705,5.018896344391663e-05,0.23405592967174016,0.0004831926497455524,0.2341104033306086,0.0001459086042968197,7094.666666666667,7099.0,10.0,0.06139424549157007,0.16932489139503998
