n_neurons,n_cores,conn_prob,firing_rate,learning_rule,T_simulate_mean,T_simulate_sem,T_simulate_count,T_setup_mean,T_setup_sem,T_total_mean,T_total_sem,n_connections_mean,n_connections_sem,n_spikes_mean,n_spikes_sem,spike_rate_mean,spike_rate_sem,spike_divergence_pct_mean,spike_divergence_pct_sem
10,1,0.05,10.0,static,0.17630543333264845,0.005093325855855905,3,0.0018399560018830623,0.0010152486139534164,0.17941016232847082,0.006657316188890973,4.333333333333333,1.2018504251546631,6907.333333333333,4.333333333333296,34.53666666666667,0.021666666666666206,,
10,1,0.05,10.0,stdp,0.17920504766516387,0.007019703987192047,3,0.0008292993346306806,2.3490912352092885e-05,0.180724257666346,0.00696582780373491,5.0,2.0,6903.666666666667,0.6666666666667046,34.51833333333334,0.0033333333333329662,-0.05299900482772918,0.0680017630023595
10,1,0.05,20.0,static,0.17378895966976415,0.0006972486389109768,3,0.0015858859987929463,0.0006977414322542534,0.176331327665442,0.0012812693556827264,4.0,1.1547005383792515,7097.333333333333,1.8559214542766262,35.48666666666667,0.009279607271383385,,
10,1,0.05,20.0,stdp,0.1750004096684279,0.0008993267582329854,3,0.0009079206647584215,5.500334602128496e-05,0.1767913759977091,0.0008506891115286389,6.666666666666667,0.3333333333333333,7091.666666666667,1.2018504251545896,35.458333333333336,0.0060092521257718735,-0.07982478242452497,0.0366603921505269
10,1,0.05,40.0,static,0.18202430432817587,0.007504691229660066,3,0.0008531043325395634,1.5073728576342277e-05,0.18365897499703956,0.00745469396059519,7.0,1.7320508075688772,7472.0,5.8594652770823155,37.36,0.029297326385412718,,
10,1,0.05,40.0,stdp,0.18247782433172688,0.008404628479783313,3,0.0008324073326851552,2.9218832499239345e-05,0.183983480669364,0.008458657963916113,5.0,1.5275252316519468,7463.0,5.5677643628300215,37.315000000000005,0.02783882181414744,-0.12040393229939865,0.06318194109049466
10,1,0.1,10.0,static,0.17469658300008936,0.0010446220915086059,3,0.0007918273283091063,2.5304262401682502e-05,0.17610843700337378,0.001106368381963238,10.333333333333334,2.4037008503093262,6911.0,1.5275252316519468,34.555,0.007637626158260928,,
10,1,0.1,10.0,stdp,0.17402535433454128,0.0013484834348249366,3,0.0008067073261675736,8.492411585971827e-06,0.17544725633827815,0.001375254205619447,7.333333333333333,2.333333333333333,6907.0,1.5275252316519468,34.535,0.0076376261582570505,-0.05787386444541853,0.022092077151147676
10,1,0.1,20.0,static,0.1735166479969242,0.0009660432007912064,3,0.0008460089981478328,1.3189034337194177e-05,0.17505351899793217,0.0009767889872972046,11.333333333333334,2.0275875100994063,7106.333333333333,0.8819171036882685,35.531666666666666,0.004409585518440779,,
10,1,0.1,20.0,stdp,0.17412218766791435,0.0002779842665816579,3,0.0008033846582596501,9.168203254956009e-06,0.1755448793313311,0.00026398879481951575,9.666666666666666,1.201850425154663,7100.333333333333,2.0275875100994005,35.501666666666665,0.010137937550495989,-0.08442578929143307,0.03541045339495205
10,1,0.1,40.0,static,0.17244956633173084,0.0004261720033432508,3,0.0008103940053842962,3.278029254869935e-05,0.1738974239997333,0.00048428160359882693,10.333333333333334,1.2018504251546631,7469.0,8.0,37.345,0.03999999999999796,,
10,1,0.1,40.0,stdp,0.17439021533937193,0.0012306750711051481,3,0.0008159016676169509,6.320669505273025e-06,0.17579936666394738,0.0012151879813615048,7.666666666666667,0.881917103688197,7458.666666666667,4.702245326555325,37.29333333333333,0.023511226632773916,-0.13825443855588584,0.0451020261803038
10,1,0.2,10.0,static,0.17461224833580977,0.0008573225715432871,3,0.0008389196688464532,3.891522930195101e-05,0.17608616766422833,0.0008232136009229068,21.333333333333332,4.8419463487779835,6921.333333333333,2.0275875100994005,34.60666666666666,0.01013793755049701,,
10,1,0.2,10.0,stdp,0.18374541399922842,0.00687081279519385,3,0.007277527338980387,0.006480822383991726,0.19163769066411382,0.013262464127357433,21.666666666666668,1.201850425154663,6914.666666666667,2.333333333333393,34.57333333333333,0.011666666666666079,-0.096316856434071,0.025482099345198853
