n_neurons,n_cores,conn_prob,firing_rate,learning_rule,T_simulate,T_simulate_sem,T_1core,speedup,speedup_sem,efficiency,efficiency_sem
10,1,0.05,10.0,static,0.17630543333264845,0.005093325855855905,0.17630543333264845,1.0,0.04085552195856861,1.0,0.04085552195856861
10,2,0.05,10.0,static,0.21245841267712726,0.006305911368583018,0.17630543333264845,0.8298350303528793,0.034370900850598414,0.41491751517643966,0.017185450425299207
10,4,0.05,10.0,static,0.17403492500307038,0.06436414200822063,0.17630543333264845,1.0130462798173299,0.3758009019958252,0.25326156995433247,0.0939502254989563
10,8,0.05,10.0,static,0.31589968099918525,0.002885957710183053,0.17630543333264845,0.5581057656500235,0.016910212791588115,0.06976322070625293,0.0021137765989485144
10,1,0.05,10.0,stdp,0.17920504766516387,0.007019703987192047,0.17920504766516387,1.0,0.05539665713590995,1.0,0.05539665713590995
10,2,0.05,10.0,stdp,0.20537387266813312,0.0002464022236727747,0.17920504766516387,0.872579580532837,0.03419615071666115,0.4362897902664185,0.017098075358330574
10,4,0.05,10.0,stdp,0.23325678766317046,0.0006368854992372616,0.17920504766516387,0.7682736672338176,0.03016733871480673,0.1920684168084544,0.007541834678701682
10,8,0.05,10.0,stdp,0.3160386803356232,0.003534602485331922,0.17920504766516387,0.5670351726404304,0.02309914013072499,0.0708793965800538,0.002887392516340624
10,1,0.05,20.0,static,0.17378895966976415,0.0006972486389109768,0.17378895966976415,1.0,0.005673884482465424,1.0,0.005673884482465424
10,2,0.05,20.0,static,0.20864776066931276,0.003478695714575354,0.17378895966976415,0.8329299059442264,0.014283504116365543,0.4164649529721132,0.0071417520581827714
10,4,0.05,20.0,static,0.23324315199958315,0.0010904069712083637,0.17378895966976415,0.7450978010710246,0.004590184456807435,0.18627445026775616,0.0011475461142018588
10,8,0.05,20.0,static,0.31341623067176744,0.0022856680132904766,0.17378895966976415,0.5544989144221084,0.004615375594808028,0.06931236430276355,0.0005769219493510035
10,1,0.05,20.0,stdp,0.1750004096684279,0.0008993267582329854,0.1750004096684279,1.0,0.007267640692429603,1.0,0.007267640692429603
10,2,0.05,20.0,stdp,0.20502032099466305,0.0007523071790554001,0.1750004096684279,0.8535759227154043,0.005389978676517419,0.42678796135770214,0.0026949893382587093
10,4,0.05,20.0,stdp,0.23894406933686696,0.003379043086271802,0.1750004096684279,0.7323906810246446,0.011019819002695776,0.18309767025616114,0.002754954750673944
10,8,0.05,20.0,stdp,0.3111560066657451,0.00032677707116336507,0.1750004096684279,0.5624201555473091,0.002950011807236526,0.07030251944341363,0.00036875147590456576
10,1,0.05,40.0,static,0.18202430432817587,0.007504691229660066,0.18202430432817587,1.0,0.058306697875207,1.0,0.058306697875207
10,2,0.05,40.0,static,0.21498547701048665,0.0088121718046001,0.18202430432817587,0.8466818636279185,0.04922407673566236,0.42334093181395926,0.02461203836783118
10,4,0.05,40.0,static,0.23209007600477585,0.0006952569556232457,0.18202430432817587,0.7842830139985402,0.032420492860580366,0.19607075349963504,0.008105123215145092
10,8,0.05,40.0,static,0.3139081016658262,0.0008680577869248418,0.18202430432817587,0.5798649457029673,0.023961002784467934,0.07248311821287091,0.0029951253480584917
10,1,0.05,40.0,stdp,0.18247782433172688,0.008404628479783313,0.18247782433172688,1.0,0.06513635082150722,1.0,0.06513635082150722
10,2,0.05,40.0,stdp,0.2112355736705164,0.005318345054656837,0.18247782433172688,0.8638593450947536,0.045344547305221986,0.4319296725473768,0.022672273652610993
10,4,0.05,40.0,stdp,0.23808608566469047,0.004219119406493816,0.18247782433172688,0.7664363241652025,0.03782349924532796,0.19160908104130062,0.00945587481133199
10,8,0.05,40.0,stdp,0.3106024386700786,0.0015694560240925393,0.18247782433172688,0.587496431493104,0.027221470240014665,0.073437053936638,0.003402683780001833
10,1,0.1,10.0,static,0.17469658300008936,0.0010446220915086059,0.17469658300008936,1.0,0.008456483257976849,1.0,0.008456483257976849
10,2,0.1,10.0,static,0.20734342300177863,0.0005290854730991407,0.17469658300008936,0.8425470191962191,0.005477683623666918,0.42127350959810955,0.002738841811833459
10,4,0.1,10.0,static,0.23387192366741752,8.741259366096344e-05,0.17469658300008936,0.746975439636441,0.004475358775644694,0.18674385990911024,0.0011188396939111735
10,8,0.1,10.0,static,0.3133713203327109,0.0007003340815338596,0.17469658300008936,0.5574747006669641,0.0035587044815366545,0.06968433758337052,0.0004448380601920818
10,1,0.1,10.0,stdp,0.17402535433454128,0.0013484834348249366,0.17402535433454128,1.0,0.010958423670259197,1.0,0.010958423670259197
10,2,0.1,10.0,stdp,0.20785363033549706,0.001010978947607867,0.17402535433454128,0.8372495301315956,0.00765985097856579,0.4186247650657978,0.003829925489282895
10,4,0.1,10.0,stdp,0.23221779166973042,0.0005970665879706659,0.17402535433454128,0.7494057758591004,0.006118306493008206,0.1873514439647751,0.0015295766232520515
10,8,0.1,10.0,stdp,0.31251479500012164,0.001052927949422142,0.17402535433454128,0.5568547701380779,0.004705178977900109,0.06960684626725974,0.0005881473722375136
10,1,0.1,20.0,static,0.1735166479969242,0.0009660432007912064,0.1735166479969242,1.0,0.007873546499246901,1.0,0.007873546499246901
10,2,0.1,20.0,static,0.21760367600169653,0.011910852833689738,0.1735166479969242,0.797397595413652,0.04387190972199455,0.398698797706826,0.021935954860997274
10,4,0.1,20.0,static,0.23405592967174016,0.0004831926497455524,0.1735166479969242,0.7413469431869495,0.004402018547741211,0.18533673579673737,0.0011005046369353027
